iter	Passed	Remaining
0	1	119
1	2	120
2	3	114
3	4	102
4	5	99
5	6	97
6	7	95
7	8	92
8	9	91
9	9	89
10	10	86
11	11	84
12	12	82
13	12	79
14	13	77
15	14	75
16	15	74
17	15	72
18	16	71
19	17	69
20	18	68
21	18	66
22	19	65
23	20	64
24	21	63
25	21	62
26	22	60
27	23	59
28	24	58
29	24	57
30	25	56
31	26	55
32	26	54
33	27	53
34	28	52
35	29	51
36	29	50
37	30	49
38	31	49
39	32	48
40	33	47
41	33	46
42	34	45
43	34	44
44	35	43
45	36	42
46	36	41
47	37	40
48	38	40
49	39	39
50	40	38
51	40	37
52	41	36
53	42	36
54	42	35
55	43	34
56	44	33
57	45	32
58	46	32
59	46	31
60	47	30
61	48	29
62	48	28
63	49	27
64	50	27
65	51	26
66	51	25
67	52	24
68	53	23
69	54	23
70	54	22
71	55	21
72	56	20
73	57	20
74	57	19
75	58	18
76	59	17
77	60	17
78	61	16
79	61	15
80	62	14
81	63	13
82	63	13
83	64	12
84	65	11
85	66	10
86	67	10
87	67	9
88	68	8
89	69	7
90	69	6
91	70	6
92	71	5
93	72	4
94	72	3
95	73	3
96	74	2
97	74	1
98	75	0
99	76	0
